2025-12-19 22:00:53,398 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:01:01,361 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:01:01,363 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:01:09,405 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:01:09,407 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:01:18,749 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:01:18,751 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:01:25,961 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:01:25,964 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:01:34,771 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:01:34,775 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:01:42,259 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:01:42,261 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:01:49,053 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:01:49,054 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:01:56,207 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:01:56,208 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:02:02,965 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:02:02,966 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:02:09,957 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:02:09,958 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:02:16,737 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:02:16,738 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:02:25,254 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:02:25,255 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:02:32,136 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:02:32,139 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:02:39,002 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:02:39,002 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:02:45,728 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:02:45,729 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:02:52,850 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:02:52,853 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:02:59,571 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:02:59,575 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:03:06,919 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:03:06,919 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:03:13,691 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:03:13,691 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:03:21,843 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:03:21,873 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:03:28,829 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:03:28,830 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:03:36,306 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:03:36,306 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:03:43,049 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:03:43,050 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:03:50,235 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:03:50,236 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:03:57,251 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:03:57,254 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:04:04,363 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:04:04,366 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:04:12,114 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:04:12,116 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:04:18,836 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:04:18,837 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:04:25,661 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:04:25,665 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:04:32,802 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:04:32,803 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:04:40,115 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:04:40,115 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:04:46,933 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:04:46,933 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:04:56,177 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:04:56,179 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:05:03,476 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:05:03,478 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:05:12,826 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:05:12,827 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:05:21,156 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:05:21,156 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:05:28,075 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:05:28,081 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:05:35,541 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:05:35,544 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:05:43,080 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:05:43,082 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:05:50,918 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:05:50,919 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:09:58,529 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:09:58,530 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:10:05,549 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:10:05,549 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:10:13,060 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:10:13,060 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:10:20,266 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:10:20,267 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:10:27,714 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:10:27,715 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:10:34,671 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:10:34,671 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:10:58,577 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:10:58,578 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:11:05,654 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:11:05,655 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:11:12,555 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:11:12,559 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:11:19,467 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:11:19,467 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:11:26,706 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:11:26,707 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:11:33,966 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:11:33,966 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:11:56,464 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:11:56,464 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:12:03,707 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:12:03,716 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:12:10,581 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:12:10,581 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:12:17,777 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:12:17,777 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:15:00,194 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:15:00,194 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:15:35,190 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:15:35,190 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:15:42,311 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:15:42,313 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:15:49,637 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:15:49,637 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:15:56,437 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:15:56,438 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:16:03,772 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:16:03,772 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:30:33,673 - notifications.udp_listener - INFO - Stopping...
2025-12-19 22:30:33,675 - notifications.udp_listener - INFO - Socket closed
2025-12-19 22:30:33,675 - notifications.udp_listener - INFO - Socket closed, exiting listen loop
2025-12-19 22:30:33,676 - notifications.udp_listener - INFO - Waiting for thread to finish...
2025-12-19 22:30:33,676 - notifications.udp_listener - INFO - Listen loop ended
2025-12-19 22:30:33,678 - notifications.udp_listener - INFO - Thread finished
2025-12-19 22:30:33,678 - __main__ - INFO - [Main] Flask app shutdown
2025-12-19 22:30:50,237 - __main__ - INFO - [Main] Starting Flask + Socket.IO app
2025-12-19 22:30:50,239 - notifications.udp_listener - INFO - Started on port 6003
2025-12-19 22:30:50,239 - notifications.udp_listener - INFO - Listening on port 6003
2025-12-19 22:32:34,196 - websocket.socket_handlers - INFO - Client connected, sid=Z5qz24kABmXJM7TwAAAH
2025-12-19 22:32:34,232 - websocket.socket_handlers - INFO - Subscribe requested: sid=Z5qz24kABmXJM7TwAAAH, sysname=viole, topic=systemstatus
2025-12-19 22:32:34,232 - websocket.websocket_manager - INFO - Client connected to viole:systemstatus (sid=Z5qz24kABmXJM7TwAAAH)
2025-12-19 22:32:41,311 - websocket.socket_handlers - INFO - Client disconnected, sid=Z5qz24kABmXJM7TwAAAH
2025-12-19 22:32:41,315 - websocket.websocket_manager - INFO - Client disconnected from viole:systemstatus (sid=Z5qz24kABmXJM7TwAAAH)
2025-12-19 22:32:43,798 - websocket.socket_handlers - INFO - Client connected, sid=N-UeB42Mzkqfjn3BAAAJ
2025-12-19 22:32:43,815 - websocket.socket_handlers - INFO - Subscribe requested: sid=N-UeB42Mzkqfjn3BAAAJ, sysname=viole, topic=systemstatus
2025-12-19 22:32:43,816 - websocket.websocket_manager - INFO - Client connected to viole:systemstatus (sid=N-UeB42Mzkqfjn3BAAAJ)
2025-12-19 22:32:44,876 - websocket.socket_handlers - INFO - Sent initial systemstatus data to sid=Z5qz24kABmXJM7TwAAAH
2025-12-19 22:32:54,177 - websocket.socket_handlers - INFO - Sent initial systemstatus data to sid=N-UeB42Mzkqfjn3BAAAJ
2025-12-19 22:32:57,068 - websocket.socket_handlers - INFO - Client disconnected, sid=N-UeB42Mzkqfjn3BAAAJ
2025-12-19 22:32:57,069 - websocket.websocket_manager - INFO - Client disconnected from viole:systemstatus (sid=N-UeB42Mzkqfjn3BAAAJ)
2025-12-19 22:34:12,466 - websocket.socket_handlers - INFO - Client connected, sid=qS4XK7dMMsDKKtUIAAAj
2025-12-19 22:34:12,510 - websocket.socket_handlers - INFO - Subscribe requested: sid=qS4XK7dMMsDKKtUIAAAj, sysname=viole, topic=systemstatus
2025-12-19 22:34:12,511 - websocket.websocket_manager - INFO - Client connected to viole:systemstatus (sid=qS4XK7dMMsDKKtUIAAAj)
2025-12-19 22:34:22,813 - websocket.socket_handlers - INFO - Sent initial systemstatus data to sid=qS4XK7dMMsDKKtUIAAAj
2025-12-19 22:35:28,626 - websocket.socket_handlers - INFO - Client disconnected, sid=qS4XK7dMMsDKKtUIAAAj
2025-12-19 22:35:28,721 - websocket.websocket_manager - INFO - Client disconnected from viole:systemstatus (sid=qS4XK7dMMsDKKtUIAAAj)
2025-12-19 22:36:58,795 - websocket.socket_handlers - INFO - Client connected, sid=GF3uutMN1ZE2PHNNAAA9
2025-12-19 22:36:58,805 - websocket.socket_handlers - INFO - Subscribe requested: sid=GF3uutMN1ZE2PHNNAAA9, sysname=viole, topic=systemstatus
2025-12-19 22:36:58,806 - websocket.websocket_manager - INFO - Client connected to viole:systemstatus (sid=GF3uutMN1ZE2PHNNAAA9)
2025-12-19 22:37:02,145 - websocket.socket_handlers - INFO - Client disconnected, sid=GF3uutMN1ZE2PHNNAAA9
2025-12-19 22:37:02,148 - websocket.websocket_manager - INFO - Client disconnected from viole:systemstatus (sid=GF3uutMN1ZE2PHNNAAA9)
2025-12-19 22:37:03,602 - websocket.socket_handlers - INFO - Client connected, sid=hHz1plgJ1lfePdgVAAA_
2025-12-19 22:37:03,643 - websocket.socket_handlers - INFO - Subscribe requested: sid=hHz1plgJ1lfePdgVAAA_, sysname=viole, topic=systemstatus
2025-12-19 22:37:03,645 - websocket.websocket_manager - INFO - Client connected to viole:systemstatus (sid=hHz1plgJ1lfePdgVAAA_)
2025-12-19 22:37:09,138 - websocket.socket_handlers - INFO - Sent initial systemstatus data to sid=GF3uutMN1ZE2PHNNAAA9
